begin_acc2,0.73333333
begin_label_acc,0.7666666666666667,0.8,0.9333333333333333,0.9,0.9,0.7666666666666667
batch,0
acc2,0.76666667
label_acc,0.8333333333333334,0.7333333333333333,0.9333333333333333,0.9333333333333333,0.9,0.7666666666666667
batch,4
acc2,0.80000000
label_acc,0.8333333333333334,0.7666666666666667,0.9333333333333333,1.0,0.9,0.8666666666666667
batch,26
acc2,0.83333333
label_acc,0.8333333333333334,0.7666666666666667,0.9333333333333333,1.0,0.9,0.8
batch,95
acc2,0.86666667
label_acc,0.8333333333333334,0.8,0.9333333333333333,0.9,0.9,0.8333333333333334
