batch,acc,data
0,0.70000000,0
1,0.73333333,16
341,0.73333333,32
342,0.73333333,48
344,0.73333333,64
345,0.73333333,80
346,0.73333333,96
347,0.73333333,112
348,0.73333333,128
349,0.73333333,144
350,0.73333333,160
351,0.73333333,176
352,0.73333333,192
353,0.73333333,208
354,0.73333333,224
355,0.73333333,240
356,0.73333333,256
357,0.73333333,272
358,0.73333333,288
360,0.73333333,304
362,0.73333333,320
363,0.73333333,336
364,0.73333333,352
365,0.73333333,368
366,0.73333333,384
367,0.73333333,400
368,0.73333333,416
369,0.73333333,432
370,0.73333333,448
371,0.73333333,464
372,0.73333333,480
373,0.73333333,496
374,0.73333333,512
375,0.73333333,528
376,0.73333333,544
377,0.73333333,560
378,0.73333333,576
379,0.73333333,592
380,0.73333333,608
381,0.73333333,624
382,0.73333333,640
383,0.73333333,656
384,0.73333333,672
385,0.73333333,688
386,0.73333333,704
387,0.73333333,720
388,0.73333333,736
389,0.73333333,752
390,0.73333333,768
391,0.73333333,784
392,0.73333333,800
393,0.73333333,816
394,0.73333333,832
395,0.73333333,848
396,0.73333333,864
397,0.73333333,880
398,0.73333333,896
399,0.73333333,912
400,0.73333333,928
401,0.73333333,944
402,0.73333333,960
403,0.73333333,976
404,0.73333333,992
405,0.73333333,1008
406,0.73333333,1024
407,0.73333333,1040
408,0.73333333,1056
409,0.73333333,1072
410,0.73333333,1088
411,0.73333333,1104
412,0.73333333,1120
413,0.73333333,1136
414,0.73333333,1152
415,0.73333333,1168
416,0.73333333,1184
417,0.73333333,1200
418,0.73333333,1216
419,0.73333333,1232
420,0.73333333,1248
421,0.73333333,1264
422,0.73333333,1280
423,0.73333333,1296
424,0.73333333,1312
425,0.73333333,1328
426,0.73333333,1344
427,0.73333333,1360
428,0.73333333,1376
429,0.73333333,1392
430,0.73333333,1408
431,0.73333333,1424
432,0.73333333,1440
433,0.73333333,1456
434,0.73333333,1472
435,0.73333333,1488
436,0.73333333,1504
437,0.73333333,1520
438,0.73333333,1536
439,0.73333333,1552
440,0.73333333,1568
441,0.73333333,1584
442,0.73333333,1600
443,0.73333333,1616
444,0.73333333,1632
445,0.73333333,1648
446,0.73333333,1664
447,0.73333333,1680
448,0.73333333,1696
449,0.73333333,1712
450,0.73333333,1728
451,0.73333333,1744
452,0.73333333,1760
453,0.73333333,1776
454,0.73333333,1792
455,0.73333333,1808
456,0.73333333,1824
457,0.73333333,1840
458,0.73333333,1856
459,0.73333333,1872
460,0.73333333,1888
461,0.73333333,1904
462,0.73333333,1920
463,0.73333333,1936
464,0.73333333,1952
465,0.73333333,1968
466,0.73333333,1984
467,0.73333333,2000
468,0.73333333,2016
469,0.73333333,2032
470,0.73333333,2048
471,0.73333333,2064
472,0.73333333,2080
473,0.73333333,2096
474,0.73333333,2112
475,0.73333333,2128
476,0.73333333,2144
477,0.73333333,2160
478,0.73333333,2176
479,0.73333333,2192
480,0.73333333,2208
481,0.73333333,2224
482,0.73333333,2240
483,0.73333333,2256
484,0.73333333,2272
485,0.73333333,2288
486,0.73333333,2304
487,0.73333333,2320
488,0.73333333,2336
489,0.73333333,2352
490,0.73333333,2368
491,0.73333333,2384
492,0.73333333,2400
493,0.73333333,2416
494,0.73333333,2432
495,0.73333333,2448
496,0.73333333,2464
497,0.73333333,2480
498,0.73333333,2496
499,0.73333333,2512
500,0.73333333,2528
501,0.73333333,2544
502,0.73333333,2560
503,0.73333333,2576
504,0.73333333,2592
505,0.73333333,2608
506,0.73333333,2624
507,0.73333333,2640
508,0.73333333,2656
509,0.73333333,2672
510,0.73333333,2688
511,0.73333333,2704
512,0.73333333,2720
513,0.73333333,2736
514,0.73333333,2752
515,0.73333333,2768
516,0.73333333,2784
517,0.73333333,2800
518,0.73333333,2816
519,0.73333333,2832
520,0.73333333,2848
521,0.73333333,2864
522,0.73333333,2880
523,0.73333333,2896
524,0.73333333,2912
525,0.73333333,2928
526,0.73333333,2944
527,0.73333333,2960
528,0.73333333,2976
529,0.73333333,2992
530,0.73333333,3008
531,0.73333333,3024
532,0.73333333,3040
533,0.73333333,3056
534,0.73333333,3072
535,0.73333333,3088
536,0.73333333,3104
537,0.73333333,3120
538,0.73333333,3136
539,0.73333333,3152
540,0.73333333,3168
541,0.73333333,3184
542,0.73333333,3200
543,0.73333333,3216
544,0.73333333,3232
545,0.73333333,3248
546,0.73333333,3264
547,0.73333333,3280
548,0.73333333,3296
549,0.73333333,3312
550,0.73333333,3328
551,0.73333333,3344
552,0.73333333,3360
553,0.73333333,3376
554,0.73333333,3392
555,0.73333333,3408
556,0.73333333,3424
557,0.73333333,3440
558,0.73333333,3456
559,0.73333333,3472
560,0.73333333,3488
561,0.73333333,3504
562,0.73333333,3520
563,0.73333333,3536
564,0.73333333,3552
565,0.73333333,3568
566,0.73333333,3584
567,0.73333333,3600
568,0.73333333,3616
569,0.73333333,3632
570,0.73333333,3648
571,0.73333333,3664
572,0.73333333,3680
573,0.73333333,3696
574,0.73333333,3712
575,0.73333333,3728
576,0.73333333,3744
577,0.73333333,3760
578,0.73333333,3776
579,0.73333333,3792
580,0.73333333,3808
581,0.73333333,3824
582,0.73333333,3840
583,0.73333333,3856
584,0.73333333,3872
585,0.73333333,3888
586,0.73333333,3904
587,0.73333333,3920
588,0.73333333,3936
589,0.73333333,3952
590,0.73333333,3968
591,0.73333333,3984
592,0.73333333,4000
593,0.73333333,4016
594,0.73333333,4032
595,0.73333333,4048
596,0.73333333,4064
597,0.73333333,4080
598,0.73333333,4096
599,0.73333333,4112
600,0.73333333,4128
601,0.73333333,4144
602,0.73333333,4160
603,0.73333333,4176
604,0.73333333,4192
605,0.73333333,4208
606,0.73333333,4224
607,0.73333333,4240
608,0.73333333,4256
609,0.73333333,4272
610,0.73333333,4288
611,0.73333333,4304
612,0.73333333,4320
613,0.73333333,4336
614,0.73333333,4352
615,0.73333333,4368
616,0.73333333,4384
617,0.73333333,4400
618,0.73333333,4416
619,0.73333333,4432
620,0.73333333,4448
621,0.73333333,4464
622,0.73333333,4480
623,0.73333333,4496
624,0.73333333,4512
625,0.73333333,4528
626,0.73333333,4544
627,0.73333333,4560
628,0.73333333,4576
629,0.73333333,4592
630,0.73333333,4608
631,0.73333333,4624
