mwka,sample-acc,haming-loss,one-loss,instance-f1
CC_RandomForest_4,0.73333333,0.12222222222222222,0.5,0.7355555555555555
CC_RandomForest_32,0.76666667,0.12777777777777777,0.4666666666666667,0.7522222222222222
CDN_REPTree_32,0.76666667,0.1388888888888889,0.4666666666666667,0.74
CT_RandomForest_32,0.76666667,0.12222222222222222,0.43333333333333335,0.78
CC_RandomForest_16,0.76666667,0.12222222222222222,0.4666666666666667,0.7688888888888888
PS_RandomForest_32,0.73333333,0.1388888888888889,0.5333333333333333,0.73
CT_RandomForest_16,0.76666667,0.12222222222222222,0.4666666666666667,0.7688888888888888
PS_RandomForest_16,0.73333333,0.1388888888888889,0.5333333333333333,0.73
CDN_J48_4,0.83333333,0.13333333333333333,0.5333333333333333,0.7355555555555555
CDN_J48_16,0.76666667,0.13333333333333333,0.5,0.6966666666666667
CDN_J48_32,0.46666667,0.2,0.6333333333333333,0.5866666666666667
CT_RandomForest_4,0.73333333,0.12222222222222222,0.4666666666666667,0.7466666666666667
PS_RandomForest_4,0.73333333,0.1388888888888889,0.5333333333333333,0.73
CDN_REPTree_16,0.70000000,0.18888888888888888,0.6333333333333333,0.6444444444444444
CDN_REPTree_4,0.80000000,0.11666666666666667,0.5,0.726031746031746
