begin_acc2,0.63333333
begin_label_acc,0.8,0.7666666666666667,0.9333333333333333,0.9,0.9,0.8333333333333334
batch,6
acc2,0.66666667
label_acc,0.8,0.7666666666666667,0.9333333333333333,0.9,0.9,0.8
batch,7
acc2,0.73333333
label_acc,0.8333333333333334,0.8333333333333334,0.9,0.9,0.9333333333333333,0.8333333333333334
batch,334
acc2,0.76666667
label_acc,0.8666666666666667,0.8,0.9333333333333333,0.9,0.9333333333333333,0.8666666666666667
batch,632
acc2,0.83333333
label_acc,0.9,0.8666666666666667,0.9333333333333333,0.9,0.9333333333333333,0.8333333333333334
