begin_acc2,0.70000000
begin_label_acc,0.8,0.8333333333333334,0.9333333333333333,0.9333333333333333,0.9,0.8
batch,28
acc2,0.73333333
label_acc,0.8333333333333334,0.8333333333333334,0.9333333333333333,0.9666666666666667,0.9,0.7333333333333333
batch,39
acc2,0.76666667
label_acc,0.8333333333333334,0.8333333333333334,0.9666666666666667,0.8666666666666667,0.9,0.8666666666666667
batch,263
acc2,0.80000000
label_acc,0.8333333333333334,0.8666666666666667,0.9666666666666667,0.8666666666666667,0.9,0.8666666666666667
